Date,District,HCHO,CO,NO2,SO2,O3,frp,u10,v10,t2m,sp,blh
2025-01-01,Ratnagiri,0.0003512658298318,0.0490841271768847,3.682080474506459e-05,2.299771880233152e-05,0.1179283240004833,4.38,-0.594348558935606,-1.2732487305151516,298.9978865530303,98971.29776515152,516.2195437803031
2025-01-01,Sindhudurg,0.0003277369355307,0.0432653359067861,3.903425623450165e-05,-5.604669985012954e-05,0.1165507938889541,1.82,-1.1243441560601852,-1.306067149546296,299.8059964351852,99223.14625,473.55332397222224
2025-01-01,Sangli,0.0002495232736704,0.0399275237627282,3.0919403202146075e-05,3.21911613709965e-05,0.1166099555608992,1.26,-2.9565681659090908,-0.5763937074886363,297.01629268939394,94443.6159469697,611.9979505075758
2025-01-01,Satara,0.0002300018824665,0.0382499571728944,2.56465915670623e-05,6.387488606175694e-05,0.1177240687694594,2.98,-2.538238528828125,-0.6375592555729167,296.047297109375,93607.568125,530.51684725
2025-01-01,Solapur,0.0002726559996356,0.0455231081244868,3.080079274340985e-05,9.538094038679678e-05,0.1172051573514414,2.61,-2.985753267210145,-0.6964621601217391,298.13741675724634,95556.82378623188,646.2284558550724
2025-01-01,Thane,0.0002655938600902,0.0426948191666882,3.0661480062195586e-05,0.0001231012224346,0.118689705460221,7.3,-0.3886327122833333,-0.970683034875,298.64377875,99548.56291666668,453.695395425
2025-01-01,Wardha,0.0001540169675145,0.0396669250134454,3.476744252452737e-05,3.1928777883706217e-05,0.1191112517186949,4.26,-1.2847613384523808,-1.121874669839286,294.5835457142857,98064.33672619048,397.2549198095238
2025-01-01,Yavatmal,0.0001368414849098,0.0420221790286304,4.779604932434907e-05,0.0001783529736467,0.1186281627609632,0.85,-1.4764623025541668,-0.9472679140527084,295.5131181875,97752.565,416.7542481875
2025-01-01,Aurangabad,0.0001671004218625,0.0404381821767912,1.968264110749481e-05,2.919962907205612e-05,0.1189791279673655,7.36,-1.3282702990833333,-0.8991064281194444,294.7932901666667,95363.77125,386.7169227416667
2025-01-01,Ahmednagar,0.0002131235364909,0.0407231512147169,2.163973682258964e-05,5.759639675271612e-05,0.1186118015218841,,,,,,
2025-01-01,Bid,0.0002165640099961,0.0431487290351708,1.9669573577933936e-05,-9.107840507949687e-06,0.1183051325455985,4.76,-1.8178888977833327,-0.43677732846315,295.8495506388889,94957.32402777778,468.7365410416666
2025-01-01,Gondiya,0.0001378619017039,0.0366177029802725,2.676649603294485e-05,4.922905898397189e-05,0.1188075236463986,2.47,-0.0499750768572916,-2.261160533854167,292.92730619791666,98180.24,353.0524932239584
