Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),Location,Month,Day,DayOfWeek,Season,Dispersion,AQI,AQI_Category
01-09-2025,97.2386,177.27,47.57,2.44,1.18,73.39,20.54,54.14,0.9,175.22,Ahmednagar,1,9,3,Winter,18.486,222.0,Poor
01-09-2025,69.2,119.77,31.12,3.67,0.95,19.09,25.71,46.72,2.41,122.66,Pimpri Chinchwad,1,9,3,Winter,61.9611,129.0,Moderate
01-09-2025,52.82,118.06,31.92,2.54,0.63,23.17,27.44,40.54,1.31,193.49,Navi Mumbai,1,9,3,Winter,35.9464,112.0,Moderate
01-09-2025,50.09,143.42,29.6,15.1,0.64,74.92,27.36,60.49,0.77,110.92,Sangli,1,9,3,Winter,21.0672,129.0,Moderate
01-10-2025,68.26,148.39,65.2374,5.3,1.14,41.6,26.23,65.31,0.31,110.4,Mumbai,1,10,4,Winter,8.1313,132.0,Moderate
01-10-2025,73.94,141.12,39.58,3.29,0.74,51.86,24.35,55.84,1.77,158.31,Mira-Bhayandar,1,10,4,Winter,43.0995,145.0,Moderate
01-10-2025,97.2386,203.25,63.06,7.07,1.69,40.07,26.12,85.3,1.4,147.52,Virar,1,10,4,Winter,36.568,222.0,Poor
01-10-2025,69.45,187.54,54.35,7.41,0.93,86.33,26.71,53.12,1.62,242.06,Belapur,1,10,4,Winter,43.2702,158.0,Moderate
01-10-2025,51.6,97.22,16.49,5.55,0.64,42.27,19.65,64.38,2.8,191.61,Dhule,1,10,4,Winter,55.02,97.0,Satisfactory
01-10-2025,70.81,146.75,27.03,9.67,0.63,60.45,24.62,49.4,1.48,101.31,Bhiwandi,1,10,4,Winter,36.4376,134.0,Moderate
01-10-2025,65.55,123.73,17.25,12.05,0.76,44.44,23.49,87.42,0.61,199.7,Mahad,1,10,4,Winter,14.3289,117.0,Moderate
01-10-2025,72.69,187.0,56.57,13.04,0.68,69.75,24.28,51.08,0.89,150.09,Thane,1,10,4,Winter,21.6092,158.0,Moderate
01-10-2025,60.39,154.72,51.44,11.06,0.76,37.19,29.57,65.07,0.56,124.42,Badlapur,1,10,4,Winter,16.5592,,Severe
01-10-2025,60.12,144.51,6.3,5.25,0.21,15.63,26.49,67.45,0.81,195.05,Kalyan,1,10,4,Winter,21.4569,,Severe
01-10-2025,47.31,108.46,12.6,9.9,1.01,39.84,27.9,48.78,0.98,122.44,Boisar,1,10,4,Winter,27.342,106.0,Moderate
01-10-2025,64.9,136.37,8.84,13.21,0.4,31.3,20.27,48.12,0.35,172.31,Malegaon,1,10,4,Winter,7.0945,125.0,Moderate
01-10-2025,49.53,128.77,32.25,13.71,0.56,65.24,24.07,53.67,0.74,108.53,Parbhani,1,10,4,Winter,17.8118,119.0,Moderate
01-10-2025,69.97,158.26,15.62,16.3,1.11,33.09,21.69,47.53,0.4,133.37,Nashik,1,10,4,Winter,8.676,139.0,Moderate
01-10-2025,69.58,127.12,29.57,5.92,0.54,40.22,21.1,56.41,0.17,209.38,Aurangabad,1,10,4,Winter,3.587,130.0,Moderate
01-10-2025,58.18,160.83,18.8,35.37135676,0.54,59.13,20.7,47.21,0.76,128.03,Chandrapur,1,10,4,Winter,15.732,141.0,Moderate
01-10-2025,52.1,133.82,14.86,0.3314,0.39,33.49,21.72,44.09,0.64,122.79,Jalna,1,10,4,Winter,13.9008,123.0,Moderate
01-10-2025,58.18,160.83,18.8,35.37135676,0.54,59.13,20.7,47.21,0.76,128.03,Nagpur,1,10,4,Winter,15.732,141.0,Moderate
01-10-2025,61.04,122.9,27.6,9.15,0.49,53.6,18.83,46.89,1.11,151.17,Jalgaon,1,10,4,Winter,20.9013,116.0,Moderate
01-10-2025,51.07,111.56,28.45,14.69,0.73,32.79,22.82,50.29,1.75,129.71,Akola,1,10,4,Winter,39.935,108.0,Moderate
01-10-2025,66.3,138.55,34.09,13.13,0.83,60.13,25.72,58.57,0.79,138.46,Solapur,1,10,4,Winter,20.3188,126.0,Moderate
